tag,group,ai_dense,ai_dram,ai_noc,acc_tot_cycles,acc_mem_cycles,ops,ops_per_cycle,dram_bw_B_per_cycle,noc_bw_B_per_cycle,ddr_words,noc_p0,noc_p3,noc_p4,mem_bound_pct,llc_hit_rate_pct,mem_coh_reqs,class
vk_k3,vary_k,233.25619834710744,0.7904491594178545,24409.945945945947,7695939,7695938,14450688,1.8777030327293394,2.375488683057389,7.692368663525009e-05,2285202,0,0,74,99.99998700613402,0.0,9670965,latency-stall
ref_conv1,reference,245.15960912052117,0.6410307842647155,203472.33103448275,22979714,22979708,236027904,10.27114192979077,16.022852851867523,5.047930535601966e-05,46025072,0,0,145,99.99997389001447,0.0,156716739,latency-stall
vc_c128,vary_c,292.47668393782385,2.2409017517589853,98977.31506849315,7767849,7767848,57802752,7.441281621205562,3.3206639315465583,7.51816880065511e-05,3224302,0,0,73,99.99998712642329,0.0,12837510,latency-stall
vk_k5,vary_k,314.859437751004,2.074483105341124,65163.63636363636,7727120,7727119,40140800,5.194794438290074,2.5041391876921804,7.971922268581308e-05,2418723,0,0,77,99.99998705856774,0.0,10106715,latency-stall
ref_layer3,reference,335.00296735905044,5.231976608204073,317597.53846153844,8826447,8826444,231211008,26.195252517802462,5.006760251321965,8.247939403023663e-05,5523988,0,0,91,99.99996601123873,0.0,20460270,latency-stall
vc_c256,vary_c,335.00296735905044,5.227351092699493,356807.1111111111,8846413,8846410,231211008,26.136130881522263,4.999880516543824,7.325002800570129e-05,5528876,0,0,81,99.99996608795,0.0,20511531,latency-stall
vk_k7,vary_k,348.44444444444446,3.730311404982753,140492.8,7711898,7711897,78675968,10.201894267792442,2.7348639725266075,7.261506830095522e-05,2636374,0,0,70,99.99998703302352,0.0,10881636,latency-stall
vh_h028,vary_h,421.25373134328356,1.6759834539017473,100352.0,7784931,7784930,57802752,7.4249536701096,4.430207024314024,7.39890950863919e-05,4311107,0,0,72,99.99998715467099,0.0,16367829,latency-stall
ref_layer1,reference,527.5514018691589,2.2425026192968174,272654.4905660377,16118969,16118965,231211008,14.344032053166677,6.396439375247883,5.2608823802564544e-05,12888001,0,0,106,99.99997518451707,0.0,45615891,latency-stall
vh_h056,vary_h,527.5514018691589,2.244039389168949,280595.88349514565,16277874,16277870,231211008,14.204005265061028,6.3296595120468435,5.062086117634281e-05,12879175,0,0,103,99.99997542676643,0.0,45537807,latency-stall
vh_h112,vary_h,563.072319201995,2.403682399183319,561191.7669902913,35194296,35194288,924844032,26.27823645058847,10.932491105945122,4.682576972132075e-05,48095166,0,0,206,99.99997726904382,0.0,165848358,latency-stall
ref_layer2,reference,664.0941176470589,4.031322301426727,344064.0,8783692,8783689,231211008,26.322759040276,6.529559551951503,7.65054148073498e-05,7169205,0,0,84,99.99996584579696,0.0,25785873,latency-stall
